position,description,certificate,company,city,sks,period,link,start_intern,end_intern,start_regis,end_regis
10. Curriculum & Content Development,Internship Program Yayasan Hasnur Centre 2021,Bersertifikat,YHC QuIP (Quality Internship Program) ,"Barito Kuala, Jakarta, Yogyakarta, Malang",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/054b69c6-e415-4e06-be7f-491f672a68b0/cdcacfa6-b274-11eb-b1f3-8a52225fc8c4,01 Jul 2021,31 Dec 2021,01 Jun 2021,01 Jul 2021
11. Digital Marketing ,Internship Program Yayasan Hasnur Centre 2021,Bersertifikat,YHC QuIP (Quality Internship Program) ,"Barito Kuala, Jakarta, Yogyakarta, Malang",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/054b69c6-e415-4e06-be7f-491f672a68b0/1a2338d7-b275-11eb-b1f3-8a52225fc8c4,01 Jul 2021,31 Dec 2021,01 Jun 2021,01 Jul 2021
12. Sales Admin ,Internship Program Yayasan Hasnur Centre 2021,Bersertifikat,YHC QuIP (Quality Internship Program) ,"Barito Kuala, Jakarta, Yogyakarta, Malang",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/054b69c6-e415-4e06-be7f-491f672a68b0/5ae4cb41-b275-11eb-b1f3-8a52225fc8c4,01 Jul 2021,31 Dec 2021,01 Jun 2021,01 Jul 2021
13. Sales Marketing ,Internship Program Yayasan Hasnur Centre 2021,Bersertifikat,YHC QuIP (Quality Internship Program) ,"Barito Kuala, Jakarta, Yogyakarta, Malang",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/054b69c6-e415-4e06-be7f-491f672a68b0/be04f76b-b275-11eb-9935-da7ada3d00eb,01 Jul 2021,31 Dec 2021,01 Jun 2021,01 Jul 2021
14. Video Editor ,Internship Program Yayasan Hasnur Centre 2021,Bersertifikat,YHC QuIP (Quality Internship Program) ,"Barito Kuala, Jakarta, Yogyakarta, Malang",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/054b69c6-e415-4e06-be7f-491f672a68b0/0b44fbc5-b276-11eb-9935-da7ada3d00eb,01 Jul 2021,31 Dec 2021,01 Jun 2021,01 Jul 2021
15. UI/UX Researcher & Designer ,Internship Program Yayasan Hasnur Centre 2021,Bersertifikat,YHC QuIP (Quality Internship Program) ,"Barito Kuala, Jakarta, Yogyakarta, Malang",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/054b69c6-e415-4e06-be7f-491f672a68b0/5d7388cc-b276-11eb-9935-da7ada3d00eb,01 Jul 2021,31 Dec 2021,01 Jun 2021,01 Jul 2021
16. Graphic Designer ,Internship Program Yayasan Hasnur Centre 2021,Bersertifikat,YHC QuIP (Quality Internship Program) ,"Barito Kuala, Jakarta, Yogyakarta, Malang",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/054b69c6-e415-4e06-be7f-491f672a68b0/a101dbf8-b276-11eb-9935-da7ada3d00eb,01 Jul 2021,31 Dec 2021,01 Jun 2021,01 Jul 2021
17. Bussiness & Communication Associate ,Internship Program Yayasan Hasnur Centre 2021,Bersertifikat,YHC QuIP (Quality Internship Program) ,"Barito Kuala, Jakarta, Yogyakarta, Malang",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/054b69c6-e415-4e06-be7f-491f672a68b0/e4c33da1-b276-11eb-9935-da7ada3d00eb,01 Jul 2021,31 Dec 2021,01 Jun 2021,01 Jul 2021
1. WEB & APPS Developer ,Internship Program Yayasan Hasnur Centre 2021,Bersertifikat,YHC QuIP (Quality Internship Program) ,"Barito Kuala, Jakarta, Yogyakarta, Malang",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/054b69c6-e415-4e06-be7f-491f672a68b0/3599c96f-b26f-11eb-b1f3-8a52225fc8c4,01 Jul 2021,31 Dec 2021,01 Jun 2021,01 Jul 2021
2D/3D Graphic Design Internship,Young Leaders Program,Bersertifikat,Semua Murid Semua Guru ,"Bandung, Jawa Barat",20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0cc412e6-5c6a-490d-82d6-c9cb8ae4ebba/c61b1700-a9aa-11eb-b34d-7e0867a6abdb,01 Aug 2021,31 Dec 2021,17 Jun 2021,18 Jul 2021
